type of dwelling involved in the sale,general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of ROAD access to property,Type of ALLEY access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction & remodel date,Type of roof,Roof material,Exterior covering on the house,Masonry veneer area in square feet,exterior quality and condition of the material,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of 1st & 2nd basement finished area,Type 1 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second-floor square feet,Above grade (ground) living area square feet,Basement full bathrooms,Full bathrooms above grade,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality & condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,Month Sold (MM),Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,16381,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Normal,Single-family Detached,One story,Above Average,Average,1969,Gable,Standard (Composite) Shingle,Plywood,312,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Average Rec Room&Unfinished,1110,734,1844,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1844,0,1844,1,2,3,1,Good,7,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,540,Average/Typical,Paved,0,73,No,No,No,Dec,2006,Warranty Deed - Conventional,Normal Sale,223000
2-STORY 1946 & NEWER,Residential Low-Density,90,11700,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northwest Ames,Normal,Single-family Detached,Two-story,Above Average,Above Average,1968,Gable,Standard (Composite) Shingle,Hard Board,420,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,404,304,708,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,708,708,1416,0,2,3,1,Average/Typical,7,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,776,Average/Typical,Paved,0,169,No,No,No,May,2006,Warranty Deed - Conventional,Normal Sale,179900
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,53,4043,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northpark Villa,Normal,Townhouse End Unit,One story,Above Average,Average,1977,Gable,Standard (Composite) Shingle,Plywood,0,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,360,709,1069,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1069,0,1069,0,2,2,1,Average/Typical,4,Typical Functionality,1,Fair,Attached to the home,Rough Finished,2,440,Average/Typical,Paved,0,55,No,No,No,Jul,2010,Warranty Deed - Conventional,Normal Sale,127500
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,37,4435,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Townhouse End Unit,One story,Above Average,Average,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,170,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,686,162,848,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,848,0,848,1,1,1,1,Good,3,Typical Functionality,0,No,Attached to the home,Finished,2,420,Average/Typical,Paved,140,0,No,No,No,Mar,2008,Warranty Deed - Conventional,Normal Sale,136500
SPLIT OR MULTI-LEVEL,Residential Low-Density,0,19690,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Edwards,Normal,Single-family Detached,Split Level,Above Average,Good,1966,Flat,Gravel & Tar,Plywood,0,Good,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,697,697,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1575,626,2201,0,2,4,1,Good,8,Typical Functionality,1,Good,Attached to the home,Unfinished,2,432,Good,Paved,586,236,Good,Good Privacy,No,Aug,2006,Warranty Deed - Conventional,Allocation,274970
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9503,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Average,1958&1983,Hip,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Average Rec Room,457,193,1024,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1344,0,1344,1,1,2,1,Average/Typical,6,Minor Deductions 1,1,Average,Detached from home,Unfinished,1,484,Average/Typical,Paved,316,28,No,Good Wood,No,Jun,2007,Warranty Deed - Conventional,Normal Sale,144000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,10721,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Above Average,Above Average,1959,Hip,Standard (Composite) Shingle,Hard Board,243,Good&Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1252,1252,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1252,0,1252,0,1,3,1,Good,7,Typical Functionality,0,No,Detached from home,Unfinished,2,528,Average/Typical,Paved,0,39,No,No,No,Oct,2008,Warranty Deed - Conventional,Normal Sale,142000
2-STORY 1946 & NEWER,Residential Low-Density,81,10944,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge,Normal,Single-family Detached,Two-story,Good,Average,1994,Gable,Standard (Composite) Shingle,Vinyl Siding,448,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,1000,223,1223,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1223,904,2127,1,2,3,1,Good,5,Typical Functionality,2,Average,Attached to the home,Rough Finished,2,525,Average/Typical,Paved,171,132,No,No,No,Aug,2008,Warranty Deed - Conventional,Normal Sale,271000
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,10930,Paved,Gravel,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Adjacent to arterial street&Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,1945&1950,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,580,333,913,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1048,510,1558,1,1,3,1,Average/Typical,6,Typical Functionality,1,Average,Attached to the home,Unfinished,1,288,Average/Typical,Paved,0,0,No,No,No,Apr,2008,Warranty Deed - Conventional,Normal Sale,140000
1-STORY 1945 & OLDER,Residential Medium Density,60,7200,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Old Town,Normal,Single-family Detached,One story,Average,Good,1940&1992,Gable,Standard (Composite) Shingle,Metal Siding,294,Average/Typical&Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,510,278,788,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,804,0,804,1,1,2,1,Good,4,Typical Functionality,2,Good,Attached to the home,Unfinished,1,240,Average/Typical,Paved,0,0,No,Minimum Privacy,No,Feb,2010,Warranty Deed - Conventional,Abnormal Sale,119000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12546,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northwest Ames,Normal,Single-family Detached,One story,Above Average,Good,1981,Gable,Standard (Composite) Shingle,Metal Siding,310,Good,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,678,762,1440,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1440,0,1440,0,2,3,1,Good,7,Typical Functionality,1,Average,Attached to the home,Finished,2,467,Average/Typical,Paved,0,0,No,No,No,Apr,2007,Warranty Deed - Conventional,Normal Sale,182900
2-STORY 1946 & NEWER,Residential Low-Density,60,21930,Paved,No alley access,Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Adjacent to North-South Railroad&Normal,Single-family Detached,Two-story,Average,Average,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Good,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,732,732,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,734,1104,1838,0,2,4,1,Average/Typical,7,Typical Functionality,1,Good,Built-In (Garage part of the house - typically has room above the garage),Finished,2,372,Average/Typical,Paved,100,40,No,No,No,Jul,2006,Warranty Deed - Conventional,Normal Sale,192140
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,0,4928,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northpark Villa,Normal,Townhouse End Unit,One story,Above Average,Above Average,1976,Gable,Standard (Composite) Shingle,Plywood,0,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Low Quality&Unfinished,958,0,958,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,958,0,958,0,2,2,1,Average/Typical,5,Typical Functionality,0,No,Attached to the home,Rough Finished,2,440,Average/Typical,Paved,0,60,No,No,No,Oct,2009,Warranty Deed - Conventional,Normal Sale,143750
1-STORY 1945 & OLDER,Residential Low-Density,60,10800,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Single-family Detached,One story,Below Average,Above Average,1927&2007,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,656,656,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,968,0,968,0,2,4,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,Unfinished,1,216,Fair,Paved,0,0,No,No,No,Aug,2007,Warranty Deed - Conventional,Normal Sale,64500
2-STORY 1946 & NEWER,Residential Low-Density,93,10261,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,Above Average,Average,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,318,Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,936,936,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,962,830,1792,1,2,3,1,Average/Typical,8,Typical Functionality,1,Average,Attached to the home,Finished,2,451,Average/Typical,Paved,0,0,No,No,No,May,2008,Warranty Deed - Conventional,Normal Sale,186500
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,17400,Paved,No alley access,Regular,Depression,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Mitchell,Normal,Single-family Detached,One story,Average,Average,1977,Gable,Standard (Composite) Shingle,Brick Face,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,936,190,1126,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,1126,0,1126,1,2,3,1,Average/Typical,5,Typical Functionality,1,Good,Attached to the home,Rough Finished,2,484,Average/Typical,Partial Pavement,295,41,No,No,No,May,2006,Warranty Deed - Conventional,Normal Sale,160000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,8400,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Above Average,Excellent,1962&2005,Gable,Standard (Composite) Shingle,Wood Siding,237,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1319,1319,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1537,0,1537,1,1,3,1,Good,7,Typical Functionality,1,Good,Attached to the home,Rough Finished,2,462,Average/Typical,Paved,0,36,No,Good Privacy,No,Jul,2008,Court Officer Deed/Estate,Abnormal Sale,174000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,9000,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,NAmes,Normal,Single-family Detached,One story,Below Average,Above Average,1971,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,616,248,864,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,864,0,864,0,1,3,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,Unfinished,2,528,Average/Typical,Paved,0,0,No,Good Wood,No,May,2007,Warranty Deed - Conventional,Normal Sale,120500
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,96,12444,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,Northridge Heights,Normal,Single-family Detached,One story,Very Good,Average,2008,Hip,Standard (Composite) Shingle,Vinyl Siding,426,Excellent&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,1336,596,1932,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1932,0,1932,1,2,2,1,Excellent,7,Typical Functionality,1,Good,Attached to the home,Finished,3,774,Average/Typical,Paved,0,66,No,No,No,Nov,2008,Home just constructed and sold,Home was not completed when last assessed,394617
1-STORY 1946 & NEWER ALL STYLES,Residential Medium Density,90,7407,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Adjacent to arterial street&Normal,Single-family Detached,One story,Above Average,Good,1957&1996,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,600,312,912,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1236,0,1236,1,1,2,1,Average/Typical,6,Typical Functionality,0,No,Attached to the home,Unfinished,2,923,Average/Typical,Paved,0,158,No,Minimum Privacy,No,Apr,2010,Warranty Deed - Conventional,Normal Sale,149700
2-STORY 1946 & NEWER,Residential Low-Density,80,11584,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Normal,Single-family Detached,Split Level,Good,Above Average,1979,Hip,Standard (Composite) Shingle,Hard Board,96,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Average Rec Room,315,114,539,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1040,685,1725,0,2,3,1,Average/Typical,6,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,550,Average/Typical,Paved,0,88,No,No,No,Nov,2007,Warranty Deed - Conventional,Normal Sale,197000
2-STORY 1945 & NEWER,Residential Low-Density,79,11526,Paved,No alley access,Slightly irregular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Crawford,Normal,Single-family Detached,Two and one-half story: 2nd level finished,Above Average,Good,1922&1994,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Brick & Tile,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,588,588,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,1423,748,2555,0,2,3,1,Average/Typical,11,Minor Deductions 1,1,Good,Detached from home,Finished,2,672,Average/Typical,Paved,431,0,No,No,No,Sep,2008,Warranty Deed - Conventional,Normal Sale,191000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,0,4426,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Townhouse End Unit,One story,Above Average,Average,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,147,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,697,151,848,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,848,0,848,1,1,1,1,Good,3,Typical Functionality,1,Average,Attached to the home,Rough Finished,2,420,Average/Typical,Paved,149,0,No,No,No,May,2008,Warranty Deed - Conventional,Normal Sale,149300
2-STORY 1946 & NEWER,Floating Village Residential,85,11003,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Single-family Detached,Two-story,Very Excellent,Average,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,160,Excellent&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,765,252,1017,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1026,981,2007,1,2,3,1,Excellent,10,Typical Functionality,1,Excellent,Attached to the home,Finished,3,812,Average/Typical,Paved,168,52,No,No,No,Apr,2009,Warranty Deed - Conventional,Normal Sale,310000
1-STORY 1945 & OLDER,Residential Low-Density,0,8854,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,Above Average,Above Average,1916&1950,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,952,952,Gravity furnace,Fair,No,60 AMP Fuse Box and mostly Romex wiring (Fair),952,0,952,0,1,2,1,Fair,4,Typical Functionality,1,Good,Detached from home,Unfinished,1,192,Fair&Poor,Partial Pavement,0,98,No,No,No,May,2009,Warranty Deed - Conventional,Normal Sale,121000
